trial,wf_score,donchian_lookback,volume_lookback,volume_mult,atr_stop_mult,atr_tp_mult,min_holding_bars,max_holding_bars,trend_sma_period,volatility_min,volatility_max,use_trend_filter,allow_long,allow_short,wf_rank,validation_total_trades,validation_win_rate,validation_profit_factor,validation_sharpe_ratio,validation_sortino_ratio,validation_calmar_ratio,validation_total_return_pct,validation_max_drawdown_pct,validation_max_drawdown_r,validation_avg_drawdown_r,validation_expectancy,validation_expectancy_r,validation_avg_win,validation_avg_loss,validation_avg_win_r,validation_avg_loss_r,validation_avg_r_multiple,validation_payoff_ratio,validation_trades_per_day,validation_avg_holding_bars,validation_max_consecutive_losses,validation_exposure_pct,validation_total_fees,validation_total_slippage
94,-999995,8,14,0.6607613463993726,2.210093937324729,9.92421844377514,1,36,100,0.001,0.12,True,True,False,9,7,0.42857142857142855,1.966149620454463,2.3647820127585737,0.0,0.964529330402059,4.078960547063689,2.9701000000000044,3.0,1.975437027942624,582.7086495805273,0.596585872252987,2766.944360607274,-1055.4681336895328,2.725367035256969,-1.0,0.596585872252987,2.6215328272726177,0.013539651837524178,13,3,0.1776061776061776,192.72791755981586,394.0178748742362
407,-999992,120,10,0.6666697875836898,0.6145945705650404,3.4952837942304513,5,24,100,0.001,0.2,True,True,False,8,10,0.3,1.693567788962152,2.3694204075577163,187383616844290.38,1.1980965309114047,5.073877494971893,2.9701000000000035,3.0,1.7142857142857142,507.38774949718993,0.5227406993850596,4129.832068990591,-1045.0883874285535,4.0758023312835325,-1.0,0.5227406993850596,3.9516581742450216,0.019342359767891684,7,3,0.1525096525096525,772.8457391661622,1557.414541351702
244,-999997,30,50,0.5943392626057414,1.1713182488855354,2.7722893840369522,1,72,150,0.001,0.12,True,True,False,20,8,0.5,1.8135033102908276,2.7495425458316074,0.0,2.348839103163577,3.340857448672701,1.000000000000006,1.0000000000000002,1.0,417.60718108409014,0.4216958139705024,1861.9027008666312,-1026.688338698451,1.843391627941005,-1.0,0.4216958139705024,1.8135033102908276,0.015473887814313346,6,1,0.10038610038610038,391.1149883471777,789.7120083061757
112,-999997,30,100,0.7045546887803357,1.6714591511164145,5.184600993037409,6,36,100,0.003,0.12,True,True,False,17,6,0.5,1.7858847523896693,2.030044636894765,0.0,1.6867407308424658,2.395867423411124,1.0000000000000044,1.0,0.9606672323406887,399.3112372351914,0.40861854778394363,1814.8306042781967,-1016.2081298078139,1.8172370955678874,-1.0,0.40861854778394363,1.7858847523896695,0.01160541586073501,14,1,0.16216216216216217,211.62344778684715,428.47402117565326
325,-999999,20,5,1.3796913246859204,3.2251698988204165,4.730587739470785,3,36,300,0.003,0.12,True,True,False,49,6,0.6666666666666666,1.9992363134068414,2.599277152094703,0.0,1.4286135226413643,2.028142541936817,1.0,1.0,0.9710364221158333,338.0237569894677,0.34063728615523203,1014.4587832233902,-1014.846295478377,1.010955929232848,-1.0,0.34063728615523203,0.9996181567034207,0.01160541586073501,16,1,0.18532818532818532,116.88655412261343,238.07269884452487
121,-999989,8,150,1.5229624051106883,1.1849744093304975,11.494693750148699,4,24,100,0.001,0.2,True,True,True,3,13,0.23076923076923078,1.5243174141325226,1.9238625780631984,0.0,0.6485213249620294,5.413940835860457,5.851985059899984,6.0,2.7125462160904057,416.45698737387977,0.44458644719292467,5246.544728278783,-1032.5693348975913,5.259874604502674,-1.0,0.44458644719292467,5.081058047108408,0.025145067698259187,8,6,0.22393822393822393,542.6707283357412,1121.2285419124964
189,-999966,20,30,0.5458215397398221,1.2439937429441041,9.463202549274856,2,24,50,0.002,0.2,False,True,True,1,21,0.3333333333333333,1.4365500560048754,2.2379973227396506,8.808716980026327,1.0930790326492505,6.15076103823664,3.9403990000000095,4.0,2.1779761991136954,292.8933827731736,0.3066795763439095,2891.4622708573943,-1006.3910612689366,2.861252876776479,-0.9706070738723752,0.3066795763439095,2.8731001120097512,0.04061895551257253,11,4,0.45366795366795365,834.9686526205887,1694.490429719275
499,-999997,30,10,1.1822318133344119,3.051373801865885,6.497786264559364,6,24,100,0.003,0.12,True,True,False,21,5,0.6,1.6571571471340385,1.6933255491223924,26015127263049.445,0.9372035493464548,1.3291604538598767,1.0,1.0,0.9695094095514044,265.8320907719743,0.27154126335770407,1117.2506481936632,-1011.2957453605588,1.1192354389295067,-1.0,0.27154126335770407,1.1047714314226924,0.009671179883945842,18,1,0.17374517374517376,101.60860520634346,206.08529594823784
198,-999999,10,75,1.4951550862548526,3.4304850282174453,3.4435692720464957,6,24,300,0.002,0.12,True,True,False,43,5,0.6,1.7929079677988347,2.143160489045419,0.4876861523817467,0.8323157662680991,1.1801507256689656,1.0,1.0,0.5326413187387088,236.03014513379526,0.2382517286456613,889.5112359337946,-744.1914910662038,0.8905421751088182,-0.740183941049074,0.2382517286456613,1.1952719785325565,0.009671179883945842,12,1,0.11969111969111969,93.06526857438185,188.68281673249038
6,-999998,24,30,2.9611419028064176,1.6045786776249154,11.430723845261772,6,24,200,0.0005,0.2,False,True,True,22,4,0.25,1.3951561064079359,0.9515712491578167,0.0,0.42182537182137175,1.1902591244997458,1.9900000000000002,2.0000000000000004,1.3333333333333337,297.56478112493664,0.32192708755232824,4202.382954040148,-1004.0412765134673,4.287708350209313,-1.0000000000000002,0.32192708755232824,4.185468319223808,0.007736943907156673,15,2,0.11583011583011583,114.67419754551382,243.67941039474186
