candidate,kind,symbol,timeframe,train_expectancy_r,train_max_drawdown_r,train_profit_factor,train_score,train_total_trades,window
v3_edge_BTCUSDT_4h_20260608_191932,v3,BTCUSDT,4h,-0.07343296271583273,6.9760579458829675,0.8027236828614546,-37.23303265614928,53,5
v3_edge_BTCUSDT_4h_20260608_192109,v3,BTCUSDT,4h,0.5950541719362571,5.0,1.881687154720303,-999991,9,5
v3_edge_ETHUSDT_4h_20260608_191748,v3,ETHUSDT,4h,0.31048992857230306,4.292768375527789,2.1515334799159067,54.91495748132558,33,5
v3_edge_SOLUSDT_4h_20260608_191748,v3,SOLUSDT,4h,0.08952236778243189,3.604110136296099,1.281792548505912,3.692708703265838,18,5
v3_wf_edge_BTCUSDT_1d_20260608_192634,v3,BTCUSDT,1d,0.0,0.0,0.0,-1000000,0,5
v3_wf_edge_BTCUSDT_4h_20260608_192533,v3,BTCUSDT,4h,0.08935027881936938,6.865199081808495,1.121754798661172,-9.692746749230842,26,5
family_edge_BTCUSDT_12h_20260608_194342,family:channel_breakout,BTCUSDT,12h,-1.0,3.0,0.0,-999997,3,6
family_edge_BTCUSDT_1h_20260608_194104,family:ema_momentum,BTCUSDT,1h,0.27971568003013225,4.601216343548485,1.540933210128103,29.6430027598947,37,6
family_edge_BTCUSDT_4h_20260608_193935,family:squeeze_breakout,BTCUSDT,4h,0.0011278356508655238,7.0,0.9760485258204761,-24.928216745696055,15,6
family_edge_BTCUSDT_4h_20260608_194014,family:channel_breakout,BTCUSDT,4h,-0.2349345147704577,3.4683483216591386,0.6556259502278698,-999990,10,6
family_edge_ETHUSDT_4h_20260608_194104,family:squeeze_breakout,ETHUSDT,4h,0.2726735084162507,11.814184172004115,1.3473305444514787,9.65512081693985,33,6
family_edge_SOLUSDT_4h_20260608_194104,family:squeeze_breakout,SOLUSDT,4h,0.0751567003155326,1.5752373531554795,1.3779026537222578,11.189560024042468,14,6
family_wf_edge_BTCUSDT_12h_20260608_194342,family:channel_breakout,BTCUSDT,12h,-0.43671786987808936,7.424203787927519,0.4220178994763573,-91.49330107257407,17,6
family_wf_edge_BTCUSDT_4h_20260608_194317,family:ema_momentum,BTCUSDT,4h,-0.20421195056776228,9.95470754306619,0.585732718644179,-63.899383412481185,41,6
